"codigo_show","codigo_artista","nome_artista","turne","local","data","cidade","estado","poster_url","foto_url"
"SHW-1073","ART-059","Red Hot Chili Peppers","The Global Stadium Tour Brasil","Arena BRB Mané Garrincha","07/11/2023 • 20:30","Brasília","DF","https://cdn-images.dzcdn.net/images/cover/ec543f07a5f643f87cf31a0e1cb1ee4b/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/95a3297a708a3d5e27a6f2bbd3a6d71b/1000x1000-000000-80-0-0.jpg"
"SHW-1074","ART-060","Almah","Motion Tour Brasil","Carioca Club","15/04/2012 • 19:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/cfb62e49c6d3969562fb3361e68f0a35/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/33e6919ebc5f111ce5f56be91e9b2512/1000x1000-000000-80-0-0.jpg"
"SHW-1075","ART-060","Almah","Rock in Rio Palco Sunset","Cidade do Rock","19/09/2013 • 17:30","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/cfb62e49c6d3969562fb3361e68f0a35/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/33e6919ebc5f111ce5f56be91e9b2512/1000x1000-000000-80-0-0.jpg"
"SHW-1076","ART-060","Almah","E.V.O Tour","Circo Voador","08/11/2015 • 20:00","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/cfb62e49c6d3969562fb3361e68f0a35/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/33e6919ebc5f111ce5f56be91e9b2512/1000x1000-000000-80-0-0.jpg"
"SHW-1077","ART-061","Hiatus Kaiyote","Love Heart Cheat Code Tour","Audio Club","10/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/d9b4db73b8fc7fecae4e07a34aa8a049/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/9ba5a7c5923ee8be2bc8bf544fba2276/1000x1000-000000-80-0-0.jpg"
"SHW-1078","ART-061","Hiatus Kaiyote","Love Heart Cheat Code Tour","Circo Voador","12/11/2026 • 21:30","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/d9b4db73b8fc7fecae4e07a34aa8a049/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/9ba5a7c5923ee8be2bc8bf544fba2276/1000x1000-000000-80-0-0.jpg"
"SHW-1079","ART-061","Hiatus Kaiyote","Mood Valiant Tour","Cine Joia","14/11/2026 • 20:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/d9b4db73b8fc7fecae4e07a34aa8a049/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/9ba5a7c5923ee8be2bc8bf544fba2276/1000x1000-000000-80-0-0.jpg"
"SHW-1080","ART-061","Hiatus Kaiyote","C6 Fest Brasil","Parque Ibirapuera","15/11/2026 • 19:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/d9b4db73b8fc7fecae4e07a34aa8a049/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/9ba5a7c5923ee8be2bc8bf544fba2276/1000x1000-000000-80-0-0.jpg"
"SHW-1081","ART-062","Kendrick Lamar","The Big Steppers Tour • GPWeek","Allianz Parque","05/11/2023 • 21:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/7ce6b8452fae425557067db6e6a1cad5/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/be0a7c550567f4af0ed202d7235b74d6/1000x1000-000000-80-0-0.jpg"
"SHW-1082","ART-062","Kendrick Lamar","DAMN. Tour • Lollapalooza Brasil","Autódromo de Interlagos","07/04/2019 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/7ce6b8452fae425557067db6e6a1cad5/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/be0a7c550567f4af0ed202d7235b74d6/1000x1000-000000-80-0-0.jpg"
"SHW-1083","ART-063","John Mayer","The Search for Everything World Tour","Allianz Parque","18/10/2017 • 21:15","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/a49f22668c3f7f26d9de7fcc93537742/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/a3a8c6e8db765c4ab19f046f0539971b/1000x1000-000000-80-0-0.jpg"
"SHW-1084","ART-063","John Mayer","The Search for Everything World Tour","Jeunesse Arena","27/10/2017 • 21:30","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/a49f22668c3f7f26d9de7fcc93537742/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/a3a8c6e8db765c4ab19f046f0539971b/1000x1000-000000-80-0-0.jpg"
"SHW-1085","ART-063","John Mayer","The Search for Everything World Tour","Pedreira Paulo Leminski","22/10/2017 • 20:00","Curitiba","PR","https://cdn-images.dzcdn.net/images/cover/a49f22668c3f7f26d9de7fcc93537742/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/a3a8c6e8db765c4ab19f046f0539971b/1000x1000-000000-80-0-0.jpg"
"SHW-1086","ART-063","John Mayer","The Search for Everything World Tour","Anfiteatro Beira-Rio","24/10/2017 • 21:00","Porto Alegre","RS","https://cdn-images.dzcdn.net/images/cover/a49f22668c3f7f26d9de7fcc93537742/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/a3a8c6e8db765c4ab19f046f0539971b/1000x1000-000000-80-0-0.jpg"
"SHW-1087","ART-063","John Mayer","The Search for Everything World Tour","Esplanada do Mineirão","20/10/2017 • 21:00","Belo Horizonte","MG","https://cdn-images.dzcdn.net/images/cover/a49f22668c3f7f26d9de7fcc93537742/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/a3a8c6e8db765c4ab19f046f0539971b/1000x1000-000000-80-0-0.jpg"
"SHW-1088","ART-063","John Mayer","Born and Raised World Tour • Rock in Rio","Cidade do Rock (Palco Mundo)","21/09/2013 • 22:15","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/a49f22668c3f7f26d9de7fcc93537742/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/a3a8c6e8db765c4ab19f046f0539971b/1000x1000-000000-80-0-0.jpg"
"SHW-1089","ART-064","Bruno Mars","Live in Brazil 2024","MorumBIS","04/10/2024 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/d68fc5f1f260273691180b9f4b77b354/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/90f0b5b11df4f87ee878f38569b5995b/1000x1000-000000-80-0-0.jpg"
"SHW-1090","ART-064","Bruno Mars","Live in Brazil 2024","Estádio Nilton Santos (Engenhão)","19/10/2024 • 21:00","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/d68fc5f1f260273691180b9f4b77b354/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/90f0b5b11df4f87ee878f38569b5995b/1000x1000-000000-80-0-0.jpg"
"SHW-1091","ART-064","Bruno Mars","The Town Festival","Autódromo de Interlagos","03/09/2023 • 23:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/d68fc5f1f260273691180b9f4b77b354/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/90f0b5b11df4f87ee878f38569b5995b/1000x1000-000000-80-0-0.jpg"
"SHW-1092","ART-065","The Weeknd","After Hours Til Dawn Tour","Allianz Parque","10/10/2023 • 20:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/134778e4c4f19ea71c82408300925a9a/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/581693b4724a7fcfa754455101e13a44/1000x1000-000000-80-0-0.jpg"
"SHW-1093","ART-065","The Weeknd","After Hours Til Dawn Tour","Estádio Nilton Santos (Engenhão)","07/10/2023 • 20:30","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/134778e4c4f19ea71c82408300925a9a/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/581693b4724a7fcfa754455101e13a44/1000x1000-000000-80-0-0.jpg"
"SHW-1094","ART-066","Billie Eilish","Happier Than Ever, The World Tour • Lollapalooza","Autódromo de Interlagos","24/03/2023 • 21:15","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/5d284b31cb9ddeb1a0c79aede5a94e1c/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/8eab1a9a644889aabaca1e193e05f984/1000x1000-000000-80-0-0.jpg"
"SHW-1095","ART-067","Foo Fighters","The Town Festival Headliner","Autódromo de Interlagos","09/09/2023 • 23:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/266f01f1c7a04843d11cd08f9c07d11f/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/c2a443972cacf77896f91a66b30bfd9e/1000x1000-000000-80-0-0.jpg"
"SHW-1096","ART-067","Foo Fighters","Concrete and Gold Tour","Estádio do Maracanã","25/02/2018 • 21:00","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/266f01f1c7a04843d11cd08f9c07d11f/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/c2a443972cacf77896f91a66b30bfd9e/1000x1000-000000-80-0-0.jpg"
"SHW-1097","ART-068","Guns N' Roses","South American Tour 2022","Allianz Parque","24/09/2022 • 20:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/75c0f08e23dca1c8e25b298ee67a41d1/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/c62989722e38d7a2ab18afde3c19bc5c/1000x1000-000000-80-0-0.jpg"
"SHW-1098","ART-068","Guns N' Roses","South American Tour 2022 • Rock in Rio","Cidade do Rock (Palco Mundo)","08/09/2022 • 00:10","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/75c0f08e23dca1c8e25b298ee67a41d1/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/c62989722e38d7a2ab18afde3c19bc5c/1000x1000-000000-80-0-0.jpg"
"SHW-1099","ART-069","Metallica","WorldWired Tour","Estádio do Morumbi","10/05/2022 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/414cdbf4a73f126c5e3306133d38ca9b/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/056578a9c2007f69ce198c81875eca41/1000x1000-000000-80-0-0.jpg"
"SHW-1100","ART-069","Metallica","WorldWired Tour","Estádio Couto Pereira","07/05/2022 • 21:00","Curitiba","PR","https://cdn-images.dzcdn.net/images/cover/414cdbf4a73f126c5e3306133d38ca9b/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/056578a9c2007f69ce198c81875eca41/1000x1000-000000-80-0-0.jpg"
"SHW-1101","ART-070","Iron Maiden","Legacy of the Beast Tour","Allianz Parque","04/09/2022 • 20:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/9e5300ebce0477148bfbe0d350aa8cba/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/497e5e47668e13a3fb1312a4754eaa65/1000x1000-000000-80-0-0.jpg"
"SHW-1102","ART-070","Iron Maiden","Legacy of the Beast Tour • Rock in Rio","Cidade do Rock (Palco Mundo)","02/09/2022 • 00:10","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/9e5300ebce0477148bfbe0d350aa8cba/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/497e5e47668e13a3fb1312a4754eaa65/1000x1000-000000-80-0-0.jpg"
"SHW-1103","ART-071","Roger Waters","This Is Not a Drill Tour","Allianz Parque","11/11/2023 • 20:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/2c25033f69ce03552e6a5749c9d51768/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/205182243d4b54e604a882472e1e93c7/1000x1000-000000-80-0-0.jpg"
"SHW-1104","ART-071","Roger Waters","This Is Not a Drill Tour","Estádio Nilton Santos (Engenhão)","28/10/2023 • 20:30","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/2c25033f69ce03552e6a5749c9d51768/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/205182243d4b54e604a882472e1e93c7/1000x1000-000000-80-0-0.jpg"
"SHW-1201","ART-005","Gloria Groove","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/616d6c29b28236d9361ad22b78a9cce0/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/bf3507c3ea9171f11c37d04e5d4ea813/1000x1000-000000-80-0-0.jpg"
"SHW-1202","ART-006","Pabllo Vittar","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/42557ffea4a5cf5f5c35ba381665a5ca/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/066d7ad4efcf95101a1db9196b010461/1000x1000-000000-80-0-0.jpg"
"SHW-1203","ART-007","IZA","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/ea48698547ad3e4a9057fead042b47f0/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/93ef4a78cb18d9600a74ea8e7bcf5fe3/1000x1000-000000-80-0-0.jpg"
"SHW-1204","ART-008","Pedro Sampaio","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/86d4957e8aa6222b4034aa3d24ea24df/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/54e4c2ddce1ea9e9eb0be6a32d667c46/1000x1000-000000-80-0-0.jpg"
"SHW-1205","ART-009","Dennis DJ","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/433f48d569fb2cb7b8fc3306a4663df8/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/a2bf0d6f30d075ebf917537651a14a79/1000x1000-000000-80-0-0.jpg"
"SHW-1206","ART-014","Luan Santana","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/992497672ec1ba15a0c3258c70fa5c4d/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/db8a5aa74fe61b29a27d14d33481aa01/1000x1000-000000-80-0-0.jpg"
"SHW-1207","ART-015","Maiara & Maraisa","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/e4ad77ce4e4d58849be5c48b78347f7d/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/cf929d2f2d96695393080ffb2a95c960/1000x1000-000000-80-0-0.jpg"
"SHW-1208","ART-016","Zé Neto & Cristiano","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/3be895b6cb296c095fb88b394fec0aa6/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/95a3297a708a3d5e27a6f2bbd3a6d71b/1000x1000-000000-80-0-0.jpg"
"SHW-1209","ART-017","Marília Mendonça","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/ec543f07a5f643f87cf31a0e1cb1ee4b/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/572c41c7b8d77cfc21ff2fa716ebf04f/1000x1000-000000-80-0-0.jpg"
"SHW-1210","ART-020","Ferrugem","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/c7028168bb1d6a6296b1b46a287a1515/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/a164f9f79b35a7a7bb62fe12aa8ea785/1000x1000-000000-80-0-0.jpg"
"SHW-1211","ART-021","Menos é Mais","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/a712f5a6a4f91e92d6e32bc009695679/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/683ebdfa666e8574044ffca6f2d56a73/1000x1000-000000-80-0-0.jpg"
"SHW-1212","ART-022","Sorriso Maroto","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/85970c675971481e285d886915b80a56/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/773b0a50b86558661601666ff0fc4bf8/1000x1000-000000-80-0-0.jpg"
"SHW-1213","ART-023","Zeca Pagodinho","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/9e248b1116c4ea50d995ff9d44c8038b/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/5b8f8888bdf20b41aaae11f3f40d9b4c/1000x1000-000000-80-0-0.jpg"
"SHW-1214","ART-025","Filipe Ret","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/b4bb0e14a1a6b0c20a1380ea057a627d/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/c1a63c675c2e36cebfe0c660cb021a8b/1000x1000-000000-80-0-0.jpg"
"SHW-1215","ART-026","Veigh","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/02dbbe9df2bc75698b76c8cff40c4a45/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/8d77d70cf2492160ae5da9bf6b9b3df3/1000x1000-000000-80-0-0.jpg"
"SHW-1216","ART-027","KayBlack","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/42557ffea4a5cf5f5c35ba381665a5ca/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/a3939634e9e0fa9fa982a04fb68d9db9/1000x1000-000000-80-0-0.jpg"
"SHW-1217","ART-028","MC Cabelinho","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/5f448c081e64ef72d7fdbf402c461159/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/33e6919ebc5f111ce5f56be91e9b2512/1000x1000-000000-80-0-0.jpg"
"SHW-1218","ART-032","Gilberto Gil","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/6c23bdfb5fbe7da84705596e1a4f00b2/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/e13f4f69904321c7fae98f0694aa2801/1000x1000-000000-80-0-0.jpg"
"SHW-1219","ART-033","Marisa Monte","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/2ebae56fb966fba0cf75ee04cb535265/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/e59fb60ad9fdbfa691866444e995f725/1000x1000-000000-80-0-0.jpg"
"SHW-1220","ART-034","Alceu Valença","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/ec95e783451e06915b88225e36f1c4e7/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/cebe8c9c0b1bbfa82fe3383042e18ebf/1000x1000-000000-80-0-0.jpg"
"SHW-1221","ART-035","Seu Jorge","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/cfb62e49c6d3969562fb3361e68f0a35/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/b17c2f6d2f3484f93cb7003ae3fc8676/1000x1000-000000-80-0-0.jpg"
"SHW-1222","ART-036","Milton Nascimento","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/02dbbe9df2bc75698b76c8cff40c4a45/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/e322ef951bb7e974e64f895fb927976e/1000x1000-000000-80-0-0.jpg"
"SHW-1223","ART-039","Duda Beat","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/ec543f07a5f643f87cf31a0e1cb1ee4b/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/6bb2012d99c7595ea4c8f5f68a73507c/1000x1000-000000-80-0-0.jpg"
"SHW-1224","ART-040","Gilsons","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/e4ad77ce4e4d58849be5c48b78347f7d/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/3be895b6cb296c095fb88b394fec0aa6/1000x1000-000000-80-0-0.jpg"
"SHW-1225","ART-041","Silva","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/98bb12613ba242277d71aaecae930ee1/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/f1997d020d2979e2c48ea92a95e72d24/1000x1000-000000-80-0-0.jpg"
"SHW-1226","ART-043","Nattan","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/ee63be1db98a0026e6e22f28bcaee308/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/066d7ad4efcf95101a1db9196b010461/1000x1000-000000-80-0-0.jpg"
"SHW-1227","ART-044","Wesley Safadão","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/4c6530666bb6c483d4e0e5ea4e41ea5d/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/230bbd72d296695393080ffb2a95c960/1000x1000-000000-80-0-0.jpg"
"SHW-1228","ART-046","Bell Marques","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/616d6c29b28236d9361ad22b78a9cce0/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/95a3297a708a3d5e27a6f2bbd3a6d71b/1000x1000-000000-80-0-0.jpg"
"SHW-1229","ART-047","Léo Santana","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/03f0b48446b764bf50bf93c6ae074744/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/cf929d2f2d96695393080ffb2a95c960/1000x1000-000000-80-0-0.jpg"
"SHW-1230","ART-049","Titãs","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/c7028168bb1d6a6296b1b46a287a1515/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/11e3b67035f8d99c4aa029f6bbfe5b01/1000x1000-000000-80-0-0.jpg"
"SHW-1231","ART-050","Capital Inicial","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/fe61d43a69a4c588e40409a8ceebf443/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/f104d49a3c9ea5a5dfa9296568ba7a54/1000x1000-000000-80-0-0.jpg"
"SHW-1232","ART-052","Vintage Culture","Turnê Brasil 2026/2027","Espaço Unimed","20/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/86d4957e8aa6222b4034aa3d24ea24df/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/54e4c2ddce1ea9e9eb0be6a32d667c46/1000x1000-000000-80-0-0.jpg"
"SHW-1233","ART-072","Charlie Brown Jr.","Celebração 30 Anos","Espaço Unimed","24/10/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/6c23bdfb5fbe7da84705596e1a4f00b2/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/1a2e562dde23cdbd9abea4bae13eb4fc/1000x1000-000000-80-0-0.jpg"
"SHW-1234","ART-072","Charlie Brown Jr.","Celebração 30 Anos","Circo Voador","31/10/2026 • 22:00","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/6c23bdfb5fbe7da84705596e1a4f00b2/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/1a2e562dde23cdbd9abea4bae13eb4fc/1000x1000-000000-80-0-0.jpg"
"SHW-1235","ART-073","Raimundos","Turnê 30 Anos de Estrada","Audio Club","07/11/2026 • 21:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/ea48698547ad3e4a9057fead042b47f0/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/5c751567df18d06962a6107f68761bde/1000x1000-000000-80-0-0.jpg"
"SHW-1236","ART-073","Raimundos","Turnê 30 Anos de Estrada","Fundição Progresso","14/11/2026 • 22:00","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/ea48698547ad3e4a9057fead042b47f0/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/5c751567df18d06962a6107f68761bde/1000x1000-000000-80-0-0.jpg"
"SHW-1237","ART-074","Black Eyed Peas","Elevation World Tour","Allianz Parque","04/12/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/616d6c29b28236d9361ad22b78a9cce0/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/4230c9807b45b78df8ce1255ca5ca594/1000x1000-000000-80-0-0.jpg"
"SHW-1238","ART-074","Black Eyed Peas","Elevation World Tour","Praça da Apoteose","06/12/2026 • 20:30","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/616d6c29b28236d9361ad22b78a9cce0/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/4230c9807b45b78df8ce1255ca5ca594/1000x1000-000000-80-0-0.jpg"
"SHW-1239","ART-075","Ney Matogrosso","Bloco na Rua Tour","Vivo Rio","19/12/2026 • 21:00","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/2c25033f69ce03552e6a5749c9d51768/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/b17c2f6d2f3484f93cb7003ae3fc8676/1000x1000-000000-80-0-0.jpg"
